,id,title,slug,cover,thumbnail,description,seo_description,status,total_module,total_time,level,author,total,normal_price,retail_price,rent_price,total_student,total_rating,total_feedback
83,65,Membuat Realtime Chatroom dengan Websocket Menggunakan Laravel dan Vue,membuat-realtime-chatroom-dengan-websocket-menggunakan-laravel-dan-vue,https://image.web.id/images/Membuat-Realtime-Chatroom-dengan-Websocket-Menggunakan-Laravel-dan-Vue.jpg,https://image.web.id/images/Membuat-Realtime-Chatroom-dengan-Websocket-Menggunakan-Laravel-dan-Vue.jpg,Belajar bagaimana caranya membuat aplikasi realtime dengan teori websocket. Dalam studi kasus pembuatan Chatroom. Menggunakan Framework Laravel dan VueJs,,publish,11,1,beginner,Ahmad Hakim,25,149000,149000,49000.0,728,4.7,122
84,247,Jago React Native dengan Membuat Movie App,jago-react-native-dengan-membuat-movie-app,https://image.web.id/images/Jago-React-Native-dengan-Membuat-Movie-App.jpg,https://image.web.id/images/Jago-React-Native-dengan-Membuat-Movie-App.jpg,"Sukses dengan React.js, kini tim Facebook memiliki framework lainnya yang membantu teman-teman yang sudah belajar React.js mampu membuat aplikasi mobile dengan dua platform sekaligus yaitu Android dan iOS. React Native adalah framework yang mampu membuat aplikasi mobile dalam satu bahasa dan proses stylingnya pun menggunakan layakanya CSS.

",,publish,4,24,beginner,Hakim Sembiring Meliala,25,250000,250000,70000.0,14,4.0,2
85,198,Jago Fullstack JavaScript dengan Membuat Blog,jago-fullstack-javascript-dengan-membuat-blog,https://image.web.id/images/Jago-Fullstack-JavaScript-dengan-Membuat-Blog.jpg,https://image.web.id/images/Jago-Fullstack-JavaScript-dengan-Membuat-Blog.jpg,"Di tutorial ini kita akan ajak kamu untuk membuat suatu blog dengan menggunakan teknologi JavaScript baik di sisi frontend dan backendnya. Dengan menggunakan Express.js dan Node.js kamu bisa gunakan project ini sebagai portfolio untuk kamu melamar sebagai fullstack web developer. Yuk belajar bersama.
",,publish,12,2,beginner,Hakim Sembiring Meliala,24,250000,250000,70000.0,23,5.0,4
86,100,Membuat Aplikasi Quiz dengan RecyclerView - Kotlin,membuat-aplikasi-quiz-dengan-recyclerview-kotlin,https://image.web.id/images/Membuat-Aplikasi-Quiz-dengan-RecyclerView---Kotlin.jpg,https://image.web.id/images/Membuat-Aplikasi-Quiz-dengan-RecyclerView---Kotlin.jpg,Pada kelas kali ini kita akan membuat aplikasi quiz sederhana dan untuk materi kelas ini teman-teman akan belajar bagaimana caranya membuat layout dari design yang sudah disiapkan kedalam kode android. Yang cukup menarik dari kelas kali ini adalah View untuk jawabannya dibuat dari RecylerView sehingga kita bisa custom view sesuka kita. Data yang kita gunakan disini menggunakan JSON sehingga teman-teman dapat mengkolaborasikannya dengan API ataupun Firebase untuk kedepannya.,,publish,21,2,intermediate,Aulia Rahman,22,149000,149000,49000.0,261,4.6,61
87,187,Belajar JavaScript,kelas-javascript,https://image.web.id/images/Belajar_JavaScript.png,https://image.web.id/images/Belajar_JavaScript.png,Panduan untuk mempelajari dasar-dasar pemrograman JavaScript dalam pemrograman web,,publish,83,4,beginner,Ahmad Hakim,21,199000,199000,99000.0,1033,4.7,706
88,91,1 Jam Bisa Membuat Game dengan Construct 3,membuat-game-tanpa-coding-dengan-construct-3,https://image.web.id/images/Group-3774.png,https://image.web.id/images/Group-3774.png,"Bikin game itu gak harus jago coding, modal browser, internet dan kreatifitas kalian bisa lho ciptain game dengan construct 3 bareng codepolitan.",,publish,23,1,beginner,Ahmad Hakim,20,149000,149000,49000.0,509,4.8,128
89,60,Sistem Otentikasi API Berbasis OAuth dengan Laravel Passport,sistem-otentikasi-api-berbasis-oauth-dengan-laravel-passport,https://image.web.id/images/Sistem-Otentikasi-API-Berbasis-OAuth-dengan-Laravel-Passport23ce92b41b9bcd95.png,https://image.web.id/images/Sistem-Otentikasi-API-Berbasis-OAuth-dengan-Laravel-Passport23ce92b41b9bcd95.png,Panduan langkah demi langkah untuk mengimplementasikan sitem otentikasi API berbasis OAuth dengan package official Laravel Passport. Peserta di harapkan sudah mengerti dasar-dasar pengembangan aplikasi web menggunakan Laravel sebelum mengikuti kelas ini. ,,publish,21,2,intermediate,Ahmad Hakim,19,149000,149000,49000.0,724,4.7,74
90,95,Membuat Aplikasi Music Player di Android - Kotlin,membuat-aplikasi-music-player-di-android-kotlin,https://image.web.id/images/Membuat-Aplikasi-Music-Player-di-Android---Kotlin.jpg,https://image.web.id/images/Membuat-Aplikasi-Music-Player-di-Android---Kotlin.jpg,Course kali ini kita akan membuat aplikasi musik streaming secara online menggunakan firebase storage dan firebase realtime database. ,,publish,59,2,intermediate,Aulia Rahman,19,199000,199000,79000.0,243,4.6,8
91,96,Membuat Chat bot Pintar di Telegram : Studi kasus Bot Info Covid-19,project-chatbot-dengan-telegram-bot,https://image.web.id/images/Membuat-Chat-bot-Pintar-di-Telegram-_-Studi-kasus-Bot-Info-Covid-19ecc358bf6cea8e7a.png,https://image.web.id/images/Membuat-Chat-bot-Pintar-di-Telegram-_-Studi-kasus-Bot-Info-Covid-19ecc358bf6cea8e7a.png,Di kelas ini kamu akan diajak belajar bersama mengenai chatbot dan bagaimana membuatnya di telegram,,publish,16,2,intermediate,Ahmad Hakim,18,149000,149000,49000.0,219,4.8,57
92,318,Belajar Membangun RESTful dengan Adonis.js,belajar-membangun-restful-dengan-adonisjs,https://image.web.id/images/Membangun-RESTful-dengan-Adonis..png,https://image.web.id/images/Membangun-RESTful-dengan-Adonis..png,Panduan untuk mempelajari membangun RESTful dengan Adonis.js,,publish,21,1,beginner,Ahmad Hakim,18,149000,149000,49000.0,17,5.0,21
93,167,Optimasi Kinerja Laravel dengan Redis,optimasi-kinerja-laravel-dengan-redis,https://image.web.id/images/Optimasi-Kinerja-Laravel-dengan-Redis.jpg,https://image.web.id/images/Optimasi-Kinerja-Laravel-dengan-Redis.jpg,"Redis, singkatan dari Remote Dictionary Server, adalah penyimpanan data nilai di dalam memori yang super cepat untuk digunakan sebagai database, cache, message broker, and queue.

Laravel adalah framework PHP yang mudah mengimplementasikan teknologi tersebut dengan library Predis. Di seri tutorial ini akan membahas bagaimana memanfaatkan redis di dalam laravel dengan berbagai contoh yang sering kita temui",,publish,8,1,beginner,Ahmad Hakim,17,149000,149000,49000.0,113,4.8,32
94,212,"Membangun Toko Online Dengan Laravel, Vue Js dan Payment Gateway",membangun-toko-online-dengan-laravel-vue-js-dan-payment-gateway,https://image.web.id/images/Membangun-Toko-Online-Dengan-Laravel-Vue-Js-dan-Payment-Gateway.png,https://image.web.id/images/Membangun-Toko-Online-Dengan-Laravel-Vue-Js-dan-Payment-Gateway.png,"Di dalam kelas ini kita akan belajar bersama-sama bagaimana cara membuat project Toko Online dari 0 sampai online menggunakan Laravel, Vue.js dan Payment Gateway.

Catatan : Update Laravel 10",,publish,79,8,beginner,Fika Ridaul Maulayya,16,400000,400000,0.0,23,5.0,1
95,62,Implementasi Firebase Auth di Android - Kotlin,implementasi-firebase-auth-di-android,https://image.web.id/images/Implementasi-Firebase-Auth-di-Android---Kotline160dc428989299b.png,https://image.web.id/images/Implementasi-Firebase-Auth-di-Android---Kotline160dc428989299b.png,Manfaatkan fitur otentikasi yang disediakan oleh Firebase untuk aplikasi Androidmu,,publish,17,4,beginner,Aulia Rahman,15,149000,149000,49000.0,797,4.6,84
96,150,Membuat Website Profile Perusahaan Tanpa Coding dengan Mobirise,membuat-website-profile-perusahaan-tanpa-coding-dengan-mobirise,https://image.web.id/images/Membuat-Website-Profile-Perusahaan-Tanpa-Coding-dengan-Mobiriseaa332b0c4d81f836.png,https://image.web.id/images/Membuat-Website-Profile-Perusahaan-Tanpa-Coding-dengan-Mobiriseaa332b0c4d81f836.png,"Kemajuan teknologi saat ini bukan hanya menghasilkan website yang keren tetapi juga tools untuk membuat website yang super keren dan mudah digunakan. Dengan tools tersebut, kamu yang bukan jagoan koding (programmer web) sekalipun mudah untuk membuat website sendiri dan yang memiliki nilai jual.",,publish,25,1,beginner,Yusuf Fazeri,15,149000,149000,49000.0,225,4.9,42
97,185,Belajar Dasar CSS,belajar-dasar-css,https://image.web.id/images/Belajar-Dasar-CSS.png,https://image.web.id/images/Belajar-Dasar-CSS.png,Mengenal dan belajar dasar-dasar CSS untuk fondasi awal belajar web development,,publish,39,3,beginner,,14,149000,149000,49000.0,1198,4.7,1194
